,Close,compound,negative,neutral,positive,Open,High,Low,Volume
2015-04-27,128.949997,-0.9794,0.117,0.768,0.116,132.309998,134.53999299999998,124.58000200000001,420972300.0
2015-05-04,127.620003,-0.9137,0.109,0.779,0.112,129.5,130.570007,123.360001,271892000.0
2015-05-11,128.770004,0.9937,0.104,0.778,0.118,127.389999,129.490005,124.82,208301500.0
2015-05-18,132.53999299999998,0.9928,0.102,0.782,0.116,128.380005,132.970001,128.360001,217297400.0
2015-05-25,130.279999,-0.9994,0.123,0.777,0.1,132.600006,132.91000400000001,129.119995,198148600.0
2015-06-01,128.649994,-0.9359,0.111,0.777,0.112,130.279999,131.389999,128.360001,170746700.0
2015-06-08,127.16999799999999,-0.9793,0.092,0.824,0.084,128.899994,130.179993,125.620003,220114600.0
2015-06-15,126.599998,-0.9996,0.119,0.793,0.088,126.099998,128.309998,125.709999,198525200.0
2015-06-22,126.75,-0.9959,0.122,0.763,0.115,127.489998,129.800003,126.510002,195594000.0
2015-06-29,126.440002,-0.9982,0.118,0.775,0.107,125.459999,126.940002,124.480003,150981900.0
2015-07-06,123.279999,-0.9995,0.121,0.786,0.094,124.940002,126.230003,119.220001,274944900.0
2015-07-13,129.619995,-0.9994,0.128,0.768,0.104,125.029999,129.619995,124.32,189244900.0
2015-07-20,124.5,-0.9999,0.151,0.749,0.1,130.970001,132.970001,121.989998,344269000.0
2015-07-27,121.300003,-0.9999,0.151,0.755,0.094,123.089996,123.910004,120.910004,191598600.0
2015-08-03,115.519997,-0.9972,0.116,0.778,0.106,121.5,122.57,112.099998,385000600.0
2015-08-10,115.959999,-0.9948,0.117,0.772,0.112,116.529999,119.989998,109.629997,344717200.0
2015-08-17,105.760002,-0.994,0.119,0.77,0.111,116.040001,117.650002,105.650002,319668200.0
2015-08-24,113.290001,-0.9912,0.122,0.76,0.118,94.870003,113.309998,92.0,500363000.0
2015-08-31,109.269997,-0.9999,0.145,0.771,0.084,112.029999,114.529999,107.360001,298194200.0
2015-09-07,114.209999,-0.9993,0.134,0.754,0.112,111.75,114.209999,109.769997,252662700.0
2015-09-14,113.449997,-0.9998,0.133,0.772,0.096,116.58000200000001,116.889999,111.870003,277276000.0
2015-09-21,114.709999,-0.9995,0.123,0.782,0.095,113.66999799999999,116.690002,112.370003,242696300.0
2015-09-28,110.379997,-0.9995,0.114,0.798,0.088,113.849998,114.57,107.309998,313896300.0
2015-10-05,112.120003,-0.9997,0.139,0.756,0.105,109.879997,112.279999,108.209999,261772800.0
2015-10-12,111.040001,-0.9998,0.138,0.767,0.096,112.730003,112.75,109.559998,184885000.0
2015-10-19,119.08000200000001,-0.9997,0.126,0.792,0.082,110.800003,119.230003,110.110001,221354200.0
2015-10-26,119.5,-0.9993,0.123,0.775,0.102,118.08000200000001,121.220001,113.989998,322362200.0
2015-11-02,121.059998,-0.9989,0.124,0.768,0.108,120.800003,123.82,119.610001,195203400.0
2015-11-09,112.339996,0.9972,0.115,0.755,0.13,120.959999,121.809998,112.269997,216555300.0
2015-11-16,119.300003,-0.9999,0.163,0.737,0.1,111.379997,119.91999799999999,111.0,189981200.0
2015-11-23,117.809998,-0.9992,0.129,0.76,0.111,119.269997,119.730003,117.120003,109720400.0
2015-11-30,119.029999,0.9971,0.092,0.798,0.11,117.989998,119.410004,114.220001,206765800.0
2015-12-07,113.18,-0.9938,0.118,0.772,0.11,118.980003,119.860001,112.849998,188745500.0
2015-12-14,106.029999,-0.9973,0.119,0.77,0.11,112.18,112.800003,105.809998,315106400.0
2015-12-21,108.029999,-0.9976,0.124,0.76,0.116,107.279999,109.0,105.57,126607800.0
2015-12-28,105.260002,-0.9992,0.136,0.747,0.117,107.589996,109.43,104.82,123484500.0
2016-01-04,96.959999,-0.9994,0.13,0.765,0.105,102.610001,105.849998,96.43,343790200.0
2016-01-11,97.129997,-0.9958,0.121,0.764,0.115,98.970001,101.190002,95.360001,303513300.0
